rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
2209.0999994277954,,directmemory_phase,895811,,GW/soldier.jpg,,,,51,,,1,0.9375,GW/barrel.jpg,GW/dustpan.jpg,GW/hat.jpg,GW/hat.jpg,GW/dustpan.jpg,GW/barrel.jpg,1,,,,,,,
null,,html-keyboard-response,896832,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1347.2000007629395,,directmemory_phase,898181,,GW/barrel.jpg,,,,50,,,1,0.9411764705882353,GW/camera.jpg,GW/basket.jpg,GW/snail.jpg,GW/basket.jpg,GW/camera.jpg,GW/snail.jpg,1,,,,,,,
null,,html-keyboard-response,899188,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1187.1000003814697,,directmemory_phase,900377,,GW/gong.jpg,,,,51,,,1,0.9444444444444444,GW/wheelchair.jpg,GW/hat.jpg,GW/soldier.jpg,GW/soldier.jpg,GW/hat.jpg,GW/wheelchair.jpg,1,,,,,,,
null,,html-keyboard-response,901384,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1169.5,,directmemory_phase,902555,,GW/camera.jpg,,,,51,,,1,0.9473684210526315,GW/gong.jpg,GW/basket.jpg,GW/snail.jpg,GW/snail.jpg,GW/basket.jpg,GW/gong.jpg,1,,,,,,,
null,,html-keyboard-response,903562,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1922.6000003814697,,directmemory_phase,905486,,GW/hat.jpg,,,,51,,,1,0.95,GW/paint.jpg,GW/camera.jpg,GW/soldier.jpg,GW/soldier.jpg,GW/camera.jpg,GW/paint.jpg,1,,,,,,,
null,,html-keyboard-response,906491,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2327.800000190735,,directmemory_phase,908820,,GW/paint.jpg,,,,51,,,1,0.9523809523809523,GW/gong.jpg,GW/snail.jpg,GW/barrel.jpg,GW/barrel.jpg,GW/snail.jpg,GW/gong.jpg,1,,,,,,,
null,,html-keyboard-response,909828,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1922.6999998092651,,directmemory_phase,911752,,GW/snail.jpg,,,,51,,,1,0.9545454545454546,GW/globe.jpg,GW/paint.jpg,GW/soldier.jpg,GW/soldier.jpg,GW/paint.jpg,GW/globe.jpg,1,,,,,,,
null,,html-keyboard-response,912760,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1000.6000003814697,,directmemory_phase,913762,,GW/teeth.jpg,,,,50,,,1,0.9565217391304348,GW/jukebox.jpg,GW/wheelchair.jpg,GW/soldier.jpg,GW/wheelchair.jpg,GW/jukebox.jpg,GW/soldier.jpg,1,,,,,,,
null,,html-keyboard-response,914767,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2000.3000001907349,,directmemory_phase,916769,,GW/soldier.jpg,,,,51,,,1,0.9583333333333334,GW/basket.jpg,GW/dustpan.jpg,GW/snail.jpg,GW/snail.jpg,GW/dustpan.jpg,GW/basket.jpg,1,,,,,,,
null,,html-keyboard-response,917777,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
