rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,learn_phase(without_color),218344,,black_plus_sign,,,,null,GW/carmel.png,GW/boulder.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),219162,,blue,,,,null,GW/carmel.png,GW/boulder.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,219665,,blue,,,,null,GW/carmel.png,GW/boulder.png,,,,,,,,,,,,,,,,,
819.6000000000931,,rt_thecrossant_black,220854,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,220957,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),223961,,black_plus_sign,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),224870,,yellow,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,225372,,yellow,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
1097.2999999998137,,rt_thecrossant_black,226471,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,226574,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),229578,,black_plus_sign,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),230192,,yellow,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,230695,,yellow,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
1506,,rt_thecrossant_black,232087,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,232191,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),235195,,black_plus_sign,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),236284,,yellow,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,236787,,yellow,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,
807.2999999998137,,rt_thecrossant_black,237705,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,237809,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),240813,,black_plus_sign,,,,null,GW/racine.png,GW/huntsville.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),241721,,yellow,,,,null,GW/racine.png,GW/huntsville.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,242224,,yellow,,,,null,GW/racine.png,GW/huntsville.png,,,,,,,,,,,,,,,,,
1554.3999999999069,,rt_thecrossant_black,243323,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,243427,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),246431,,black_plus_sign,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
