rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
504,,prac_atten_color,64037,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,66047,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
1526.6000003814697,,attentioncheck_feedback,67576,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,
3469.300000190735,,last_instruct,71047,,instruct,,,,32,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),74063,,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),74953,,green,,,,null,GW/wheelchair.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,75458,,green,,,,null,GW/wheelchair.jpg,GW/camera.jpg,,,,,,,,,,,,,,,,,
1044.2999992370605,,rt_thecrossant_black,76589,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,76696,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),79708,,black_plus_sign,,,,null,GW/paint.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),80408,,green,,,,null,GW/paint.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,
470.80000019073486,,rt_plussign_withcolor,80915,,green,,,,50,GW/paint.jpg,GW/soldier.jpg,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,82233,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,
null,,color_black,82342,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),85353,,black_plus_sign,,,,null,GW/jukebox.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),86056,,blue,,,,null,GW/jukebox.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,86571,,blue,,,,null,GW/jukebox.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
836.3000001907349,,rt_thecrossant_black,87898,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,88014,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),91024,,black_plus_sign,,,,null,GW/camera.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),91891,,blue,,,,null,GW/camera.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
424.30000019073486,,rt_plussign_withcolor,92396,,blue,,,,50,GW/camera.jpg,GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,93547,,black_plus_sign,,,,null,,,0,0.75,,,,,,,,,,,,,,,
null,,color_black,93664,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),96674,,black_plus_sign,,,,null,GW/teeth.jpg,GW/barrel.jpg,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),97361,,blue,,,,null,GW/teeth.jpg,GW/barrel.jpg,,,,,,,,,,,,,,,,,
416.8999996185303,,rt_plussign_withcolor,97865,,blue,,,,49,GW/teeth.jpg,GW/barrel.jpg,,,,,,,,,,,,,,,,,
