rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
1509.5,,directmemory_phase,1645871,,GW/hotsprings.png,,,,51,,,1,0.875,GW/leesburg.png,GW/westpalmbeach.png,GW/peoria.png,GW/peoria.png,GW/westpalmbeach.png,GW/leesburg.png,1,,,,,,,,,
null,,html-keyboard-response,1646873,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1797.7999999970198,,directmemory_phase,1648672,,GW/leesburg.png,,,,51,,,1,0.8888888888888888,GW/hotsprings.png,GW/newhope.png,GW/boulder.png,GW/boulder.png,GW/newhope.png,GW/hotsprings.png,1,,,,,,,,,
null,,html-keyboard-response,1649673,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1518.7999999970198,,directmemory_phase,1651192,,GW/westpalmbeach.png,,,,50,,,1,0.9,GW/cornwall.png,GW/racine.png,GW/shreveport.png,GW/racine.png,GW/cornwall.png,GW/shreveport.png,1,,,,,,,,,
null,,html-keyboard-response,1652193,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1550,,directmemory_phase,1653744,,GW/boulder.png,,,,50,,,0,0.8181818181818182,GW/cornwall.png,GW/westpalmbeach.png,GW/peoria.png,GW/peoria.png,GW/westpalmbeach.png,GW/cornwall.png,0.5,closer,,,,,,,,
null,,html-keyboard-response,1654749,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
2235.2999999970198,,directmemory_phase,1656985,,GW/carmel.png,,,,51,,,1,0.8333333333333334,GW/gatlinburg.png,GW/hotsprings.png,GW/huntsville.png,GW/huntsville.png,GW/hotsprings.png,GW/gatlinburg.png,1,,,,,,,,,
null,,html-keyboard-response,1657986,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
null,,directmemory_phase,1664488,,GW/peoria.png,,,,null,,,0,0.7692307692307693,GW/racine.png,GW/newhope.png,GW/hanover.png,GW/hanover.png,GW/newhope.png,GW/racine.png,0,,,,,,,,,
null,,warning_page,1667491,,warning,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,1668493,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
