rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
null,,rt_plussign_withcolor,1133070,,yellow,,,,null,GW/westpalmbeach.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
745.5,,rt_thecrossant_black,1134405,,black_plus_sign,,,,50,,,1,0.9829059829059829,,,,,,,,,,,,,,,,
null,,color_black,1134516,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1137523,,black_plus_sign,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1138394,,blue,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1138898,,blue,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,
903.2000000001863,,rt_thecrossant_black,1140042,,black_plus_sign,,,,49,,,1,0.9830508474576272,,,,,,,,,,,,,,,,
null,,color_black,1140148,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1143154,,black_plus_sign,,,,null,GW/gatlinburg.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1143833,,blue,,,,null,GW/gatlinburg.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1144338,,blue,,,,null,GW/gatlinburg.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
1165.7999999998137,,rt_thecrossant_black,1145673,,black_plus_sign,,,,49,,,1,0.9831932773109243,,,,,,,,,,,,,,,,
null,,color_black,1145778,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1148785,,black_plus_sign,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1149795,,yellow,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1150300,,yellow,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,,
916.7000000001863,,rt_thecrossant_black,1151310,,black_plus_sign,,,,50,,,1,0.9833333333333333,,,,,,,,,,,,,,,,
null,,color_black,1151423,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1154438,,black_plus_sign,,,,null,GW/leesburg.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1155495,,blue,,,,null,GW/leesburg.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1156004,,blue,,,,null,GW/leesburg.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
1286.3000000002794,,rt_thecrossant_black,1156966,,black_plus_sign,,,,49,,,1,0.9834710743801653,,,,,,,,,,,,,,,,
null,,color_black,1157074,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1160082,,black_plus_sign,,,,null,GW/carmel.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1160946,,blue,,,,null,GW/carmel.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1161452,,blue,,,,null,GW/carmel.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
1241.7000000001863,,rt_thecrossant_black,1162607,,black_plus_sign,,,,49,,,1,0.9836065573770492,,,,,,,,,,,,,,,,
null,,color_black,1162714,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1165723,,black_plus_sign,,,,null,GW/carmel.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1166746,,yellow,,,,null,GW/carmel.png,GW/racine.png,,,,,,,,,,,,,,,,,,
276.3000000002794,,rt_plussign_withcolor,1167251,,yellow,,,,49,GW/carmel.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,1168244,,black_plus_sign,,,,50,,,0,0.975609756097561,,,,,,,,,,,,,,,,
null,,color_black,1168359,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1171373,,black_plus_sign,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1171828,,yellow,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1172331,,yellow,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
1258.1000000000931,,rt_thecrossant_black,1173892,,black_plus_sign,,,,50,,,1,0.9758064516129032,,,,,,,,,,,,,,,,
null,,color_black,1174003,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1177015,,black_plus_sign,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1177551,,blue,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1178060,,blue,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
768.1000000000931,,rt_thecrossant_black,1179552,,black_plus_sign,,,,49,,,1,0.976,,,,,,,,,,,,,,,,
null,,color_black,1179662,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1182668,,black_plus_sign,,,,null,GW/hotsprings.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1183087,,yellow,,,,null,GW/hotsprings.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1183598,,yellow,,,,null,GW/hotsprings.png,GW/cornwall.png,,,,,,,,,,,,,,,,,,
712.5,,rt_thecrossant_black,1185195,,black_plus_sign,,,,50,,,1,0.9761904761904762,,,,,,,,,,,,,,,,
null,,color_black,1185299,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1188312,,black_plus_sign,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1189318,,blue,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1189827,,blue,,,,null,GW/hotsprings.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,
675.5999999996275,,rt_thecrossant_black,1190843,,black_plus_sign,,,,49,,,1,0.9763779527559056,,,,,,,,,,,,,,,,
null,,color_black,1190948,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1193955,,black_plus_sign,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1194791,,blue,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1195295,,blue,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
1179.2999999998137,,rt_thecrossant_black,1196478,,black_plus_sign,,,,49,,,1,0.9765625,,,,,,,,,,,,,,,,
null,,color_black,1196590,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_break,1256613,,learn_break,,,,null,,,,,,,,,,,,,,,,,,,,
28660.100000000093,,intro_1,1285278,,instruct,,0,Start,,,,,,,,,,,,,,,,,,,,,
3098.399999999907,,directmemory_phase,1288378,,GW/huntsville.png,,,,49,,,1,1,GW/shreveport.png,GW/boulder.png,GW/carmel.png,GW/shreveport.png,GW/carmel.png,GW/boulder.png,1,,,,,,,,,
null,,html-keyboard-response,1289383,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
2040.8999999999069,,directmemory_phase,1291425,,GW/cornwall.png,,,,51,,,1,1,GW/boulder.png,GW/racine.png,GW/hotsprings.png,GW/hotsprings.png,GW/racine.png,GW/boulder.png,1,,,,,,,,,
null,,html-keyboard-response,1292433,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1815.5,,directmemory_phase,1294250,,GW/peoria.png,,,,50,,,1,1,GW/hotsprings.png,GW/shreveport.png,GW/racine.png,GW/shreveport.png,GW/hotsprings.png,GW/racine.png,1,,,,,,,,,
null,,html-keyboard-response,1295259,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
3347.4000000003725,,directmemory_phase,1298608,,GW/leesburg.png,,,,51,,,1,1,GW/hanover.png,GW/shreveport.png,GW/huntsville.png,GW/huntsville.png,GW/shreveport.png,GW/hanover.png,1,,,,,,,,,
null,,html-keyboard-response,1299614,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
